Slug,Название вина,Категория,Цвет,Регион,Сорт винограда,Описание,Винодельня,Название фото,S3_Key,Signed_Image_URL,Sweetness,Body,Acidity,Oak,Aroma_Tags,Flavor_Tags,Pairings
zolotaya-balka-zb-moscato-semi-sweet-rose-muskat-yantarnyy-rozovoe-polusladkoe-9,ZB Moscato Semi-Sweet Rose,Розовое,Нежно-розовый,Крым,"Мускат Гамбургский, Мускат Янтарный","Изысканный мускатный аромат с нотами розы, клубники и экзотических фруктов. Вкус нежный, сочный, ароматный, с характерными мускатными тонами и деликатной сладостью.
Прекрасно сочетается с лесной земляникой, клубникой, малиной, персиками, фруктовыми десертами и мягкими пирожными.",Золотая Балка,zolotaya_balka_zb_moscato_semi_sweet_rose_muskat_yantarnyy_rozovoe_polusladkoe_9_25026eb2e3.webp,catalog/zolotaya_balka_zb_moscato_semi_sweet_rose_muskat_yantarnyy_rozovoe_polusladkoe_9_25026eb2e3.webp,https://firsts3.ru/wine-hack/catalog/zolotaya_balka_zb_moscato_semi_sweet_rose_muskat_yantarnyy_rozovoe_polusladkoe_9_25026eb2e3.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=4Mcngzsxlcj34xSPMnLJISLeyio%3D&Expires=2105631333,3.5,2.4,3.2,1.3,"клубника, персик, роза",,Закуски: Брускетты с вялеными томатами и прошутто; Рыба: Тартар из лосося или креветки на гриле; Десерты: Тарт с грушей или ягодный чизкейк
zolotaya-balka-zb-spumante-brut-risling-beloe-bryut-125,ZB Spumante Brut,Белое,Соломенно-золотистый,Крым,"Рислинг, Шардоне","Изысканный букет цитрусовых, весенних цветов и белых фруктов. Вкус свежий, тонкий, с хорошей кислотностью — классический стиль Charmat.
Прекрасен как аперитив, к морепродуктам, рыбе, птице, мягким сырам и фруктам.",Золотая Балка,zolotaya_balka_zb_spumante_brut_risling_beloe_bryut_125_624bd4301a.webp,catalog/zolotaya_balka_zb_spumante_brut_risling_beloe_bryut_125_624bd4301a.webp,https://firsts3.ru/wine-hack/catalog/zolotaya_balka_zb_spumante_brut_risling_beloe_bryut_125_624bd4301a.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=DbbxyI9Vzj7yLRAe1OaFBXbYqkk%3D&Expires=2105631333,1.2,2.2,3.8,1.3,,,Птица: Цыпленок в сливочно-чесночном соусе; Сыры: Молодой козий сыр или Бри
zolotaya-balka-zb-spumante-semi-dry-risling-beloe-polusuhoe-125,ZB Spumante Semi-Dry,Белое,Соломенно-золотистый,Крым,"Рислинг, Шардоне","Аромат тонких цитрусовых, белых цветов и спелых фруктов. Вкус лёгкий, освежающий, с деликатной природной сладостью и хорошей кислотностью.
Хорошо как аперитив, к морепродуктам, рыбе, белому мясу, лёгким десертам.",Золотая Балка,zolotaya_balka_zb_spumante_semi_dry_risling_beloe_polusuhoe_125_b4807ef6ee.webp,catalog/zolotaya_balka_zb_spumante_semi_dry_risling_beloe_polusuhoe_125_b4807ef6ee.webp,https://firsts3.ru/wine-hack/catalog/zolotaya_balka_zb_spumante_semi_dry_risling_beloe_polusuhoe_125_b4807ef6ee.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=hbex1l7xKxCPsd1JmK2ua8JBOBw%3D&Expires=2105631333,1.2,2.2,3.8,1.3,белые цветы,,Птица: Цыпленок в сливочно-чесночном соусе; Сыры: Молодой козий сыр или Бри
zb-wine-moscato-beloe-polusladkoe,ZB Wine Moscato белое полусладкое,Белое,Светло-золотистый,Крым,"Мускат Белый, Мускат Янтарный","Игристое вино обладает ярким, мускатным ароматом с оттенками персика, абрикоса и лепестков чайной розы. Игристое вино демонстрирует сладковатый, но не приторный вкус с нотами грейпфрута и тропических фруктов, бархатистой текстурой и долгим послевкусием",Золотая Балка,sladkoe_df74c29436.webp,catalog/sladkoe_df74c29436.webp,https://firsts3.ru/wine-hack/catalog/sladkoe_df74c29436.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=C%2FTTjG3HQyjnnKprJFfYDn7N4Sk%3D&Expires=2105631333,3.5,2.2,3.8,1.3,"персик, абрикос, грейпфрут, роза",,Птица: Цыпленок в сливочно-чесночном соусе; Сыры: Молодой козий сыр или Бри; Десерты: Тарт с грушей или ягодный чизкейк
zolotaya-balka-zb-wine-riesling-risling-beloe-polusuhoe-115,ZB Wine Riesling,Белое,Светло-соломенный с зеленоватым оттенком,Крым,Рислинг,"Аромат переплетает ноты ананаса, айвы и манго с вкраплениями гречишного мёда и апельсинового конфитюра. Вкус: деликатная природная сладость переплетается с лёгкой кислотностью.
Отлично к рыбным блюдам, морепродуктам, блюдам азиатской кухни; достоин украсить торжественный стол.",Золотая Балка,zolotaya_balka_zb_wine_riesling_risling_beloe_polusuhoe_115_1b10f56379.webp,catalog/zolotaya_balka_zb_wine_riesling_risling_beloe_polusuhoe_115_1b10f56379.webp,https://firsts3.ru/wine-hack/catalog/zolotaya_balka_zb_wine_riesling_risling_beloe_polusuhoe_115_1b10f56379.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=fP7sjWwavfDP7q3O%2FkKizRCo26g%3D&Expires=2105631333,1.2,2.2,3.8,1.3,"айва, апельсин",,Птица: Цыпленок в сливочно-чесночном соусе; Сыры: Молодой козий сыр или Бри
zolotaya-balka-zb-wine-sauvignon-blanc-sovinon-blan-beloe-suhoe-125,ZB Wine Sauvignon Blanc,Белое,Светло-соломенный с лёгким зеленоватым оттенком,Крым,Совиньон Блан,"Яркий аромат: лайм, грейпфрут, свежескошенная трава, цветки смородины, ананас и манго. Вкус гармоничный и изящный, с хорошей сортовой кислотностью.
Идеален к морепродуктам, устрицам, рыбе на гриле, салатам с зелёными травами, козьим сырам.",Золотая Балка,zolotaya_balka_zb_wine_sauvignon_blanc_sovinon_blan_beloe_suhoe_125_f910ea40b7.webp,catalog/zolotaya_balka_zb_wine_sauvignon_blanc_sovinon_blan_beloe_suhoe_125_f910ea40b7.webp,https://firsts3.ru/wine-hack/catalog/zolotaya_balka_zb_wine_sauvignon_blanc_sovinon_blan_beloe_suhoe_125_f910ea40b7.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=dZR3A9j762iYxGMNVoaCC0iVfAk%3D&Expires=2105631333,1.2,2.2,3.8,1.3,"лайм, грейпфрут",,Птица: Цыпленок в сливочно-чесночном соусе; Сыры: Молодой козий сыр или Бри
abrau-dyurso-udelnoe-vedomstvo-imperatorskoe-beloe-bryut,Абрау Дюрсо Удельное Ведомство Императорское белое брют,Белое,Светло-соломенный с тонким зеленоватым оттенком,Кубань,"Рислинг, Совиньон Блан, Шардоне","Великолепное вино, искрящееся множеством мелких пузырьков, имеющее нежный цветочно-фруктовый аромат и свежий вкус с душистым, привлекательным послевкусием. Благодаря универсальному характеру, игристое вино станет не только восхитительным аперитивом, но и составит пару широкому спектру блюд. Абрау-Дюрсо, Брют — одно из лучших российских игристых вин. Оно произведено мастерами Русского Шампанского Дома Абрау-Дюрсо по французской технологии методом Шарма из купажа тщательно отобранного винограда. Метод Шарма был разработан в Италии директором института энологии города Асти Федерико Мартинотти. Особенность технологии заключается в проведении вторичной ферментации в больших герметичных цистернах, после чего вино фильтруется, стабилизируется и разливается под давлением в отдельные бутылки. Вино имеет неограниченный срок хранения, в зависимости от длительности выдержки крепость вина может колебаться от 10,5 до 12,5%.",Абрау-Дюрсо,Beloe_bryut_85d083f446.webp,catalog/Beloe_bryut_85d083f446.webp,https://firsts3.ru/wine-hack/catalog/Beloe_bryut_85d083f446.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=%2FM%2F8vDBjiMABYJPANv14L2hytTg%3D&Expires=2105631333,1.2,2.2,3.8,4.2,,,Птица: Цыпленок в сливочно-чесночном соусе; Сыры: Молодой козий сыр или Бри
abrau-dyurso-udelnoe-vedomstvo-imperatorskoe-beloe-polusladkoe,Абрау Дюрсо Удельное Ведомство Императорское белое полусладкое,Белое,Светло-соломенный с тонким золотистым оттенком,Кубань,"Рислинг, Совиньон Блан, Шардоне","Великолепное свежее игристое вино, искрящееся золотистыми живыми пузырьками, имеющее яркий ароматный букет с нотками цитрусовых фруктов, яблока и груши и прекрасно сбалансированный вкус с длительным послевкусием. Полусладкое от Абрау-Дюрсо — одно из лучших российских игристых вин, завоевавшее четыре медали на международных винных конкурсах. Оно произведено мастерами Русского Шампанского Дома Абрау-Дюрсо по французской технологии методом Шарма из купажа тщательно отобранного винограда. Метод Шарма был разработан в Италии директором института энологии города Асти Федерико Мартинотти. Особенность технологии заключается в проведении вторичной ферментации в больших герметичных цистернах, после чего вино фильтруется, стабилизируется и разливается под давлением в отдельные бутылки. Вино имеет неограниченный срок хранения, в зависимости от длительности выдержки крепость вина может колебаться от 10,5 до 12,5%.",Абрау-Дюрсо,Abrau_Dyurso_Udelnoe_Vedomstvo_Imperatorskoe_beloe_polusladkoe_fac98a6538.webp,catalog/Abrau_Dyurso_Udelnoe_Vedomstvo_Imperatorskoe_beloe_polusladkoe_fac98a6538.webp,https://firsts3.ru/wine-hack/catalog/Abrau_Dyurso_Udelnoe_Vedomstvo_Imperatorskoe_beloe_polusladkoe_fac98a6538.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=cwUzbcDZyf8RI9M6oBM1paNUkhA%3D&Expires=2105631333,3.5,2.2,3.8,4.2,"яблоко, груша, мед",,Птица: Цыпленок в сливочно-чесночном соусе; Сыры: Молодой козий сыр или Бри; Десерты: Тарт с грушей или ягодный чизкейк
abrau-dyurso-fizz-beloe-bryut,Абрау Дюрсо Физз белое брют,Белое,Светло-соломенный,Кубань,"Августин, Бианка, Ркацители, Шардоне","Легкое игристое вино от российского винного дома Абрау-Дюрсо, созданное в стиле «жемчужного» брюта. Это довольно универсальное игристое вино, которое отлично впишется и в атмосферу праздника, и подойдет для повседневного наслаждения жарким вечером буднего дня. Удобная и симпатичная баночка с ее игристым содержимым - идеальный вариант для дружеской встречи на природе или пикника весной и летом, которая подарит ощущение легкости, свежести и светлое настроение.",Абрау-Дюрсо,Beloe_bryut_85d083f446.webp,catalog/Beloe_bryut_85d083f446.webp,https://firsts3.ru/wine-hack/catalog/Beloe_bryut_85d083f446.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=%2FM%2F8vDBjiMABYJPANv14L2hytTg%3D&Expires=2105631333,1.2,1.6,3.8,1.3,,,Птица: Цыпленок в сливочно-чесночном соусе; Сыры: Молодой козий сыр или Бри
abrau-dyurso-fizz-beloe-polusladkoe,Абрау Дюрсо Физз белое полусладкое,Белое,Светло-соломенный,Кубань,"Августин, Бианка, Ркацители, Шардоне","Легкое игристое полусладкое вино от российского винного дома Абрау‑Дюрсо, созданное в жемчужном стиле. Для его производства используется виноград сортов Бианка, Шардоне и Ркацители. Это довольно универсальное игристое вино, которое отлично впишется и в атмосферу праздника, и подойдет для повседневного наслаждения жарким вечером буднего дня. Удобная и симпатичная баночка с ее содержимым - идеальный вариант для дружеской встречи на природе или пикника весной и летом, которая подарит ощущение легкости, свежести и светлое настроение.",Абрау-Дюрсо,sladkoe_df74c29436.webp,catalog/sladkoe_df74c29436.webp,https://firsts3.ru/wine-hack/catalog/sladkoe_df74c29436.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=C%2FTTjG3HQyjnnKprJFfYDn7N4Sk%3D&Expires=2105631333,3.5,1.6,3.8,1.3,,,Птица: Цыпленок в сливочно-чесночном соусе; Сыры: Молодой козий сыр или Бри; Десерты: Тарт с грушей или ягодный чизкейк
abrau-dyurso-abrau-kupazh-krasnyy-polsusladkoe-kaberne-sovinon-krasnoe-polusladkoe-11,Абрау Купаж красный полсусладкое,Красное,Рубиновый,Кубань,"Каберне Совиньон, Мерло",В аромате красные ягоды и вишнево-смородиновый джем. Во вкусе фруктовые нюансы и продолжительное послевкусие.,Абрау-Дюрсо,abrau_dyurso_abrau_kupazh_krasnyy_polsusladkoe_kaberne_sovinon_krasnoe_polusladkoe_11_291e93ae8d.webp,catalog/abrau_dyurso_abrau_kupazh_krasnyy_polsusladkoe_kaberne_sovinon_krasnoe_polusladkoe_11_291e93ae8d.webp,https://firsts3.ru/wine-hack/catalog/abrau_dyurso_abrau_kupazh_krasnyy_polsusladkoe_kaberne_sovinon_krasnoe_polusladkoe_11_291e93ae8d.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=YrSHbgapy5OVGhvjc8NN0Zy115g%3D&Expires=2105631333,4.5,4.0,3.0,2.5,вишня,,Мясо: Стейк рибай на углях с розмарином; Сыры: Выдержанный пармезан или твердый чеддер; Десерты: Тарт с грушей или ягодный чизкейк
abrau-dyurso-abrau-kupazh-svetlyy-suhoe-shardone-beloe-125,Абрау Купаж светлый сухое,Белое,Светло-соломенный,Кубань,"Августин, Рислинг, Уньи блан, Шардоне",В аромате ноты крыжовника в сочетании с белыми цветами. Во вкусе ноты алычи и тропические фрукты.,Абрау-Дюрсо,abrau_dyurso_abrau_kupazh_svetlyy_suhoe_shardone_beloe_125_b60d4bb639.webp,catalog/abrau_dyurso_abrau_kupazh_svetlyy_suhoe_shardone_beloe_125_b60d4bb639.webp,https://firsts3.ru/wine-hack/catalog/abrau_dyurso_abrau_kupazh_svetlyy_suhoe_shardone_beloe_125_b60d4bb639.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=Uef4s96e7KaRNanToa8k45FtMwI%3D&Expires=2105631333,1.2,2.2,3.8,1.3,,,Птица: Цыпленок в сливочно-чесночном соусе; Сыры: Молодой козий сыр или Бри
abrau-dyurso-abrau-kupazh-tyomnyy-suhoe-kaberne-sovinon-krasnoe-13,Абрау Купаж тёмный сухое,Красное,Рубиновый,Кубань,"Каберне Совиньон, Мерло",В аромате ноты свежих ягод и вишневого джема с оттенками специй. Вкус сбалансированный с нюансами пряностей и долгим послевкусием.,Абрау-Дюрсо,abrau_dyurso_abrau_kupazh_tyomnyy_suhoe_kaberne_sovinon_krasnoe_13_a9c6a97e9b.webp,catalog/abrau_dyurso_abrau_kupazh_tyomnyy_suhoe_kaberne_sovinon_krasnoe_13_a9c6a97e9b.webp,https://firsts3.ru/wine-hack/catalog/abrau_dyurso_abrau_kupazh_tyomnyy_suhoe_kaberne_sovinon_krasnoe_13_a9c6a97e9b.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=3c5ZyQJjWl6m1peNDUFhYZPFguM%3D&Expires=2105631333,1.2,4.0,3.0,2.5,вишня,,Мясо: Стейк рибай на углях с розмарином; Сыры: Выдержанный пармезан или твердый чеддер
abrau-dyurso-victor-dravigny-bryut,Абрау-Дюрсо Victor Dravigny брют,Белое,Золотистый,Кубань,"Пино Блан, Рислинг, Шардоне","Вино игристое Абрау-Дюрсо Victor Dravigny белое брют, 0.75л отличается минимальным содержанием сахара. Продукт изготовлен из винограда белых сортов (шардоне, совиньон, пино-блан, пино-нуар). Плоды выращены в виноградниках с уникальным мягким климатом и почвами, богатыми природными элементами. Это позволяет получить приятный напиток с легким фруктовым вкусом с нотками лайма. Послевкусие у него приятное гармоничное. Цвет напитка мягкий, красивый, оттенка спелой пшеницы. Дополнительную золотистость ему придает игра пузырьков, которые лучше всего раскрываются в высоких бокалах. Напиток обладает притягательным ароматом винограда с нотками цитрусовых. Он хорошо утоляет жажду в жаркие дни и создает атмосферу праздника в любое время года. Брют прекрасно сочетается с рыбой и морепродуктами, такими как устрицы, мидии, осьминоги, креветки. Его можно подать к столу и с блюдами из белой птицы. Фрукты тоже способны удачно дополнить вкус напитка. Шампанское следует подавать к столу охлажденным, но не замороженным. Для этого заблаговременно его помещают в камеру холодильника или другое прохладное место. Бутылку с игристым вином также можно опустить в ведерко, наполненное водой со льдом. Алкогольный напиток принято пить из длинных бокалов, сделанных из прозрачного стекла.",Абрау-Дюрсо,Абрау Дюрсо Виктор Дравиньи брют.webp,catalog/Абрау Дюрсо Виктор Дравиньи брют.webp,https://firsts3.ru/wine-hack/catalog/%D0%90%D0%B1%D1%80%D0%B0%D1%83%20%D0%94%D1%8E%D1%80%D1%81%D0%BE%20%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%20%D0%94%D1%80%D0%B0%D0%B2%D0%B8%D0%BD%D1%8C%D0%B8%20%D0%B1%D1%80%D1%8E%D1%82.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=bA%2BiqjW4JNayHjsTM4CGch4uQZc%3D&Expires=2105631333,1.2,2.2,3.8,4.2,лайм,,Птица: Цыпленок в сливочно-чесночном соусе; Сыры: Молодой козий сыр или Бри
abrau-dyurso-abrau-dyurso-pino-nuar-krasnoe-suhoe-13,Абрау-Дюрсо Пино Нуар,Красное,"Светло-рубиновый, прозрачный",Кубань,Пино Нуар,"Аромат тонкий — вишня, малина, лёгкие нотки земляники и пряностей; вкус элегантный, с мягкими танинами, свежей кислотностью и продолжительным ягодным послевкусием. К мясным блюдам, сырам.",Абрау-Дюрсо,abrau_dyurso_abrau_dyurso_pino_nuar_krasnoe_suhoe_13_2c1e6330fe.webp,catalog/abrau_dyurso_abrau_dyurso_pino_nuar_krasnoe_suhoe_13_2c1e6330fe.webp,https://firsts3.ru/wine-hack/catalog/abrau_dyurso_abrau_dyurso_pino_nuar_krasnoe_suhoe_13_2c1e6330fe.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=WtrYIsti7G35alpn8%2FPOgZ76eJ8%3D&Expires=2105631333,1.2,4.0,3.0,2.5,"вишня, малина, земляника",,Мясо: Стейк рибай на углях с розмарином; Сыры: Выдержанный пармезан или твердый чеддер
sober-bash-avrora-2024-krasnostop-zolotovskiy-rozovoe-suhoe-14,Аврора 2024,Розовое,Насыщенный розовый,Кубань,Красностоп Золотовский,"В аромате ноты красной смородины, клубники и леденцов барбариса. Вкус сочный, с нюансами красных ягод, умеренной кислотностью и продолжительным послевкусием.",Собер Баш,sober_bash_avrora_2024_krasnostop_zolotovskiy_rozovoe_suhoe_14_016209463e.webp,catalog/sober_bash_avrora_2024_krasnostop_zolotovskiy_rozovoe_suhoe_14_016209463e.webp,https://firsts3.ru/wine-hack/catalog/sober_bash_avrora_2024_krasnostop_zolotovskiy_rozovoe_suhoe_14_016209463e.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=70N2%2BNgTNlsWDm4Qj1g02TiVEdc%3D&Expires=2105631333,1.2,2.4,3.2,1.3,клубника,,Закуски: Брускетты с вялеными томатами и прошутто; Рыба: Тартар из лосося или креветки на гриле
valeriy-zaharin-avtorskoe-vino-ot-valeriya-zaharina-aleatiko-rozovoe-suhoe-115,Авторское вино от Валерия Захарьина. Алеатико,Розовое,Розовый,Крым,Алеатико,"Вкус: Свежий, гармоничный, с фруктово-ягодными тонами, цветочными штрихами, нежной текстурой, едва ощутимой танинной терпкостью и сбалансированным послевкусием. С оттенками красных ягод и подлеска.",Валерий Захарьин,valeriy_zaharin_avtorskoe_vino_ot_valeriya_zaharina_aleatiko_rozovoe_suhoe_115_433a921c43.webp,catalog/valeriy_zaharin_avtorskoe_vino_ot_valeriya_zaharina_aleatiko_rozovoe_suhoe_115_433a921c43.webp,https://firsts3.ru/wine-hack/catalog/valeriy_zaharin_avtorskoe_vino_ot_valeriya_zaharina_aleatiko_rozovoe_suhoe_115_433a921c43.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=LkZg%2BxIB6%2BYwJK7kLhcwpRUg3tE%3D&Expires=2105631333,1.2,2.4,3.2,1.3,,,Закуски: Брускетты с вялеными томатами и прошутто; Рыба: Тартар из лосося или креветки на гриле
valeriy-zaharin-avtorskoe-vino-ot-valeriya-zaharina-bastardo-bastardo-magarachskiy-krasnoe-suhoe-12,Авторское вино от Валерия Захарьина. Бастардо,Красное,Яркий красно-рубиновый,Крым,Бастардо Магарачский,"Вкус: Гармоничный, с фруктовыми акцентами, тонкой ягодной кислинкой, округлыми танинами и приятным, сухим послевкусием. С фруктовыми, цветочными и пряными нотками.",Валерий Захарьин,valeriy_zaharin_avtorskoe_vino_ot_valeriya_zaharina_bastardo_bastardo_magarachskiy_krasnoe_suhoe_12_9ae8962a73.webp,catalog/valeriy_zaharin_avtorskoe_vino_ot_valeriya_zaharina_bastardo_bastardo_magarachskiy_krasnoe_suhoe_12_9ae8962a73.webp,https://firsts3.ru/wine-hack/catalog/valeriy_zaharin_avtorskoe_vino_ot_valeriya_zaharina_bastardo_bastardo_magarachskiy_krasnoe_suhoe_12_9ae8962a73.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=W514AOpHM%2BnPDQSvxegQ69FfR6g%3D&Expires=2105631333,1.2,4.0,3.0,2.5,,,Мясо: Стейк рибай на углях с розмарином; Сыры: Выдержанный пармезан или твердый чеддер
valeriy-zaharin-avtorskoe-vino-ot-valeriya-zaharina-krasnoe-pino-nuar-suhoe-125,Авторское вино от Валерия Захарьина. Красное,Красное,Рубиново-красный,Крым,Пино Нуар,"Вкус: Слегка терпкий, с деликатной танинной горчинкой, ягодной кислинкой и пряными тонами в сухом послевкусии. Яркий, с оттенками спелых темных ягод и специй.",Валерий Захарьин,valeriy_zaharin_avtorskoe_vino_ot_valeriya_zaharina_krasnoe_pino_nuar_krasnoe_suhoe_125_32e5dd1102.webp,catalog/valeriy_zaharin_avtorskoe_vino_ot_valeriya_zaharina_krasnoe_pino_nuar_krasnoe_suhoe_125_32e5dd1102.webp,https://firsts3.ru/wine-hack/catalog/valeriy_zaharin_avtorskoe_vino_ot_valeriya_zaharina_krasnoe_pino_nuar_krasnoe_suhoe_125_32e5dd1102.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=5qjtwna7LdR%2F2T%2FliWJtO3Fqt9E%3D&Expires=2105631333,1.2,4.0,3.0,2.5,,,Мясо: Стейк рибай на углях с розмарином; Сыры: Выдержанный пармезан или твердый чеддер
massandra-avtorskoe-murvedr-krasnoe-suhoe-14,Авторское Мурведр,Красное,Тёмно-рубиновый с фиолетовым оттенком,Крым,Мурведр,"Аромат интенсивный — тёмные ягоды, вишня, специи и лёгкий смолистый нюанс; вкус полнотелый, танинный, с хорошей структурой и долгим пряным послевкусием. К красному мясу, баранине, выдержанным сырам.",Массандра,massandra_avtorskoe_murvedr_krasnoe_suhoe_14_9f3b7f61d6.webp,catalog/massandra_avtorskoe_murvedr_krasnoe_suhoe_14_9f3b7f61d6.webp,https://firsts3.ru/wine-hack/catalog/massandra_avtorskoe_murvedr_krasnoe_suhoe_14_9f3b7f61d6.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=RyWAyTymvZE%2B6pTu4fftURAH0MA%3D&Expires=2105631333,1.2,4.0,3.0,2.5,вишня,,Мясо: Стейк рибай на углях с розмарином; Сыры: Выдержанный пармезан или твердый чеддер
avtorskoe-risling,Авторское Рислинг,Белое,Светло-соломенный,Кубань,"Рислинг, Ркацители","Вкус вина чистый, свежий, энергичный, с яркой кислинкой, фруктовыми и травяными оттенками, мягкой текстурой и гармоничным послевкусием. Аромат вина наполнен оттенками белых цветов, лайма, яблока и меда. Вино блестящего соломенного цвета с золотистыми бликами.",Olymp Winery,zod3xnxspeju4qylhp65en278429bfv3_fa4af2c190.webp,catalog/zod3xnxspeju4qylhp65en278429bfv3_fa4af2c190.webp,https://firsts3.ru/wine-hack/catalog/zod3xnxspeju4qylhp65en278429bfv3_fa4af2c190.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=EZ2pnFd6CbNeMrJ8zzk6Ph%2BQhQo%3D&Expires=2105631333,1.2,2.2,3.8,1.3,"яблоко, мед, лайм, белые цветы",,Птица: Цыпленок в сливочно-чесночном соусе; Сыры: Молодой козий сыр или Бри
zimovets-avtohton-tsimlyanskiy-chernyy-krasnoe-suhoe-135,Автохтон,Красное,Вино красновато-гранатового цвета с чуть рыжеватым оттенком.,Нижняя Волга,Цимлянский черный,"В аромате заизюмленные нотки черных и красных фруктов, бузины и терна. Во вкусе вино среднетелое, с выдающейся кислотностью и молодыми шероховатыми танинами, требующими аэрации.",Зимовец,zimovets_avtohton_tsimlyanskiy_chernyy_krasnoe_suhoe_135_c4f818da0f.webp,catalog/zimovets_avtohton_tsimlyanskiy_chernyy_krasnoe_suhoe_135_c4f818da0f.webp,https://firsts3.ru/wine-hack/catalog/zimovets_avtohton_tsimlyanskiy_chernyy_krasnoe_suhoe_135_c4f818da0f.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=6VM%2FoZ0s7k4HQeJwwaBKt2b28YM%3D&Expires=2105631333,1.2,4.0,3.0,4.2,,,Мясо: Стейк рибай на углях с розмарином; Сыры: Выдержанный пармезан или твердый чеддер
valeriy-zaharin-avtohtonnoe-vino-kryma-ot-valeriya-zaharina-aleatiko-kefesiya-rozovoe-suhoe-11,Автохтонное вино Крыма от Валерия Захарьина. Алеатико – Кефесия,Розовое,Яркий розовый,Крым,Алеатико,"Вкус: Легкий, сочный, с мягкой кислотностью и продолжительным, приятным, фруктовым послевкусием. Яркий с ягодными оттенками клубники и свежими травянистыми нотками.",Валерий Захарьин,valeriy_zaharin_avtohtonnoe_vino_kryma_ot_valeriya_zaharina_aleatiko_kefesiya_rozovoe_suhoe_11_8a5f697ad1.webp,catalog/valeriy_zaharin_avtohtonnoe_vino_kryma_ot_valeriya_zaharina_aleatiko_kefesiya_rozovoe_suhoe_11_8a5f697ad1.webp,https://firsts3.ru/wine-hack/catalog/valeriy_zaharin_avtohtonnoe_vino_kryma_ot_valeriya_zaharina_aleatiko_kefesiya_rozovoe_suhoe_11_8a5f697ad1.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=W5Q54aa%2FA9%2Fmd6eHLfdvozPInmE%3D&Expires=2105631333,1.2,2.4,3.2,1.3,клубника,,Закуски: Брускетты с вялеными томатами и прошутто; Рыба: Тартар из лосося или креветки на гриле
valeriy-zaharin-avtohtonnoe-vino-kryma-ot-valeriya-zaharina-bastardo-kefesiya-bastardo-magarachskiy-krasnoe-suhoe-115,Автохтонное вино Крыма от Валерия Захарьина. Бастардо – Кефесия,Красное,Блестящий рубиновый с коралловым оттенком,Крым,Бастардо Магарачский,"Вкус: Сбалансированный, с умеренными таниннами, свежей кислотностью, сочными тонами ежевики и сливы, оттенками чернослива, молочного шоколада и специй. Послевкусие длительное, приятное. С тонами зрелой вишни, черного перца, табака и ванили.",Валерий Захарьин,valeriy_zaharin_avtohtonnoe_vino_kryma_ot_valeriya_zaharina_bastardo_kefesiya_bastardo_magarachskiy_krasnoe_suhoe_115_292d4c5970.webp,catalog/valeriy_zaharin_avtohtonnoe_vino_kryma_ot_valeriya_zaharina_bastardo_kefesiya_bastardo_magarachskiy_krasnoe_suhoe_115_292d4c5970.webp,https://firsts3.ru/wine-hack/catalog/valeriy_zaharin_avtohtonnoe_vino_kryma_ot_valeriya_zaharina_bastardo_kefesiya_bastardo_magarachskiy_krasnoe_suhoe_115_292d4c5970.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=pxLvnqH1PVn5eSJJKmhymmvlkkc%3D&Expires=2105631333,1.2,4.0,3.0,2.5,"вишня, ежевика, слива, чернослив, ваниль, шоколад, табак, перец","слива, ваниль, шоколад, табак, перец",Мясо: Стейк рибай на углях с розмарином; Сыры: Выдержанный пармезан или твердый чеддер
